ks_scale,c_scale,rms_acc,peak_travel,peak_tyre
0.8,0.7,1.1621313951760532,0.04015162105774002,0.04328945621792561
0.8,0.85,1.2461780899344745,0.03862040533147567,0.043345583768698105
0.8,1.0,1.323845092333481,0.037206372468857246,0.043402936152539914
0.8,1.15,1.3952066349783816,0.03587292979167328,0.04345924067119568
0.8,1.3,1.4608095966507033,0.034637501446862805,0.043514521262346964
0.9,0.7,1.1744866484306988,0.039900032137857595,0.04329126351106136
0.9,0.85,1.2549052380200985,0.038391835330060256,0.04334780653247778
0.9,1.0,1.3301707833994978,0.0369880592605609,0.04340512518296912
0.9,1.15,1.399837952946411,0.03567456818553393,0.04346139662731911
0.9,1.3,1.4642077883690534,0.03444738064313909,0.043516644788177655
1.0,0.7,1.1882420287903317,0.03964949995728852,0.043293070125775775
1.0,0.85,1.2647473426948959,0.03816455326511001,0.043350028380654014
1.0,1.0,1.3374082351294068,0.0367706200521931,0.043407313313453655
1.0,1.15,1.405231326299039,0.035476966612380194,0.043463551698839066
1.0,1.3,1.4682538555158853,0.03425798481709188,0.043518767444435766
1.1,0.7,1.2034131830419919,0.039406417078610805,0.043294876062290114
1.1,0.85,1.2757149184200105,0.037938186060654626,0.0433522493135545
1.1,1.0,1.3455543799344938,0.036561010159608186,0.043409500544315194
1.1,1.15,1.4113888165812274,0.035280122737504103,0.04346570588607137
1.1,1.3,1.4729517805463639,0.034071733321175135,0.043520889231431395
1.2,0.7,1.220002314919755,0.039170626572709595,0.04329668132082558
1.2,0.85,1.2878035587735548,0.037712730784936276,0.0433544693315068
1.2,1.0,1.3546119174551772,0.036356320218518264,0.043411686875875335
1.2,1.15,1.418308728945995,0.03508403423224084,0.043467859189331756
1.2,1.3,1.4782936476067,0.0338934284602654,0.04352301014947451
